id,label
30000,1
30001,1
30002,0
30003,0
30004,1
30005,1
30006,0
30007,0
30008,1
30009,0
30010,0
30011,1
30012,0
30013,0
30014,1
30015,1
30016,1
30017,0
30018,0
30019,1
30020,1
30021,1
30022,1
30023,1
30024,0
30025,0
30026,1
30027,1
30028,1
30029,1
30030,0
30031,0
30032,0
30033,1
30034,1
30035,0
30036,1
30037,0
30038,1
30039,0
30040,0
30041,0
30042,0
30043,0
30044,0
30045,1
30046,0
30047,1
30048,0
30049,0
30050,1
30051,1
30052,0
30053,1
30054,0
30055,0
30056,1
30057,0
30058,1
30059,1
30060,0
30061,1
30062,0
30063,0
30064,0
30065,0
30066,0
30067,1
30068,0
30069,0
30070,1
30071,0
30072,1
30073,1
30074,1
30075,1
30076,1
30077,0
30078,0
30079,1
30080,0
30081,0
30082,0
30083,1
30084,1
30085,1
30086,1
30087,1
30088,0
30089,1
30090,1
30091,1
30092,0
30093,0
30094,0
30095,0
30096,1
30097,0
30098,0
30099,1
30100,1
30101,1
30102,1
30103,0
30104,1
30105,0
30106,1
30107,0
30108,1
30109,1
30110,1
30111,1
30112,1
30113,1
30114,0
30115,0
30116,1
30117,1
30118,0
30119,0
30120,1
30121,1
30122,0
30123,0
30124,0
30125,0
30126,1
30127,0
30128,0
30129,0
30130,1
30131,1
30132,0
30133,1
30134,0
30135,0
30136,0
30137,0
30138,0
30139,0
30140,0
30141,1
30142,1
30143,0
30144,0
30145,1
30146,0
30147,0
30148,0
30149,0
30150,1
30151,0
30152,0
30153,0
30154,0
30155,1
30156,1
30157,0
30158,0
30159,0
30160,1
30161,0
30162,1
30163,0
30164,1
30165,0
30166,0
30167,1
30168,0
30169,0
30170,1
30171,1
30172,1
30173,0
30174,1
30175,1
30176,0
30177,1
30178,1
30179,1
30180,1
30181,1
30182,0
30183,1
30184,0
30185,0
30186,1
30187,0
30188,1
30189,0
30190,0
30191,0
30192,0
30193,1
30194,1
30195,1
30196,1
30197,1
30198,1
30199,1
30200,1
30201,0
30202,1
30203,0
30204,0
30205,0
30206,1
30207,0
30208,1
30209,0
30210,0
30211,1
30212,1
30213,1
30214,0
30215,0
30216,0
30217,1
30218,0
30219,0
30220,1
30221,0
30222,0
30223,1
30224,0
30225,0
30226,1
30227,0
30228,0
30229,0
30230,0
30231,1
30232,1
30233,1
30234,0
30235,1
30236,1
30237,1
30238,0
30239,0
30240,1
30241,1
30242,0
30243,0
30244,1
30245,1
30246,0
30247,1
30248,1
30249,0
30250,0
30251,1
30252,0
30253,1
30254,1
30255,0
30256,0
30257,0
30258,1
30259,0
30260,1
30261,1
30262,1
30263,0
30264,1
30265,0
30266,0
30267,1
30268,1
30269,1
30270,0
30271,1
30272,0
30273,0
30274,0
30275,1
30276,1
30277,1
30278,0
30279,1
30280,0
30281,1
30282,1
30283,1
30284,1
30285,0
30286,1
30287,0
30288,1
30289,0
30290,0
30291,0
30292,0
30293,1
30294,1
30295,0
30296,1
30297,0
30298,0
30299,0
30300,0
30301,0
30302,1
30303,1
30304,0
30305,1
30306,0
30307,0
30308,1
30309,0
30310,1
30311,0
30312,0
30313,0
30314,0
30315,1
30316,0
30317,1
30318,0
30319,0
30320,0
30321,1
30322,1
30323,1
30324,0
30325,0
30326,1
30327,0
30328,0
30329,1
30330,0
30331,1
30332,0
30333,0
30334,1
30335,1
30336,1
30337,1
30338,1
30339,0
30340,1
30341,1
30342,1
30343,0
30344,0
30345,0
30346,1
30347,1
30348,0
30349,0
30350,0
30351,1
30352,0
30353,0
30354,0
30355,0
30356,1
30357,0
30358,1
30359,1
30360,0
30361,0
30362,0
30363,1
30364,0
30365,1
30366,0
30367,0
30368,0
30369,1
30370,0
30371,0
30372,1
30373,0
30374,1
30375,1
